[2021-11-18 04:10:58,243] {DEBUG} __main__: #29 - Starting Division!
[2021-11-18 04:10:59,740] {INFO} __main__: #31 - 6.0
[2021-11-18 04:11:00,854] {INFO} __main__: #33 - 3.0
2023-06-19 09:00:06,397 - __main__ - INFO - Hello! Welcome to the ATM Depot!
2023-06-19 09:00:12,549 - __main__ - INFO - Entering the account pincode
2023-06-19 09:00:19,064 - __main__ - INFO - Entering the account amount deposited
2023-06-19 09:00:19,064 - __main__ - INFO - Amount Deposited: $50.0
2023-06-19 09:00:19,064 - __main__ - INFO - Transaction Info:
2023-06-19 09:00:19,064 - __main__ - INFO - Status: Successful
2023-06-19 09:00:19,064 - __main__ - INFO - Transaction #957920
2023-06-19 09:00:19,064 - __main__ - INFO - Timestamp: 2023-06-19 09:00:19.064757
2023-06-19 09:00:25,092 - __main__ - INFO - Entering amount to be withdrawn
2023-06-19 09:00:25,092 - __main__ - ERROR - Error! Insufficient balance to complete withdraw.
2023-06-19 09:00:25,092 - __main__ - INFO - Transaction Info:
2023-06-19 09:00:25,092 - __main__ - INFO - Status: Failed
2023-06-19 09:00:25,092 - __main__ - INFO - Transaction #606930
2023-06-19 09:00:25,092 - __main__ - INFO - Available Balance = $150.0
2023-06-19 09:00:42,659 - __main__ - INFO - Hello! Welcome to the ATM Depot!
2023-06-19 09:00:45,313 - __main__ - INFO - Entering the account pincode
2023-06-19 09:00:50,038 - __main__ - INFO - Entering the account amount deposited
2023-06-19 09:00:50,038 - __main__ - INFO - Amount Deposited: $50.0
2023-06-19 09:00:50,038 - __main__ - INFO - Transaction Info:
2023-06-19 09:00:50,038 - __main__ - INFO - Status: Successful
2023-06-19 09:00:50,038 - __main__ - INFO - Transaction #686150
2023-06-19 09:00:50,039 - __main__ - INFO - Timestamp: 2023-06-19 09:00:50.039019
2023-06-19 09:00:52,529 - __main__ - INFO - Entering amount to be withdrawn
2023-06-19 09:00:52,530 - __main__ - INFO - You withdrew: $10.0
2023-06-19 09:00:52,530 - __main__ - INFO - Transaction Info:
2023-06-19 09:00:52,530 - __main__ - INFO - Status: Successful
2023-06-19 09:00:52,530 - __main__ - INFO - Transaction #512376
2023-06-19 09:00:52,530 - __main__ - INFO - Available Balance = $140.0
2023-06-19 09:01:13,108 - __main__ - INFO - Hello! Welcome to the ATM Depot!
2023-06-19 09:01:15,628 - __main__ - INFO - Entering the account pincode
2023-06-19 09:01:18,437 - __main__ - INFO - Entering the account amount deposited
2023-06-19 09:01:18,437 - __main__ - INFO - Amount Deposited: $1.0
2023-06-19 09:01:18,437 - __main__ - INFO - Transaction Info:
2023-06-19 09:01:18,437 - __main__ - INFO - Status: Successful
2023-06-19 09:01:18,437 - __main__ - INFO - Transaction #488582
2023-06-19 09:01:18,437 - __main__ - INFO - Timestamp: 2023-06-19 09:01:18.437603
2023-06-19 09:01:25,737 - __main__ - INFO - Entering amount to be withdrawn
2023-06-19 09:01:25,737 - __main__ - ERROR - Error! Insufficient balance to complete withdraw.
2023-06-19 09:01:25,737 - __main__ - INFO - Transaction Info:
2023-06-19 09:01:25,737 - __main__ - INFO - Status: Failed
2023-06-19 09:01:25,737 - __main__ - INFO - Transaction #870698
2023-06-19 09:01:25,737 - __main__ - INFO - Available Balance = $101.0
2023-06-19 09:01:37,794 - __main__ - INFO - Hello! Welcome to the ATM Depot!
2023-06-19 09:01:39,947 - __main__ - INFO - Entering the account pincode
2023-06-19 09:01:43,252 - __main__ - INFO - Entering the account amount deposited
2023-06-19 09:01:43,252 - __main__ - INFO - Amount Deposited: $1.0
2023-06-19 09:01:43,253 - __main__ - INFO - Transaction Info:
2023-06-19 09:01:43,253 - __main__ - INFO - Status: Successful
2023-06-19 09:01:43,253 - __main__ - INFO - Transaction #975377
2023-06-19 09:01:43,253 - __main__ - INFO - Timestamp: 2023-06-19 09:01:43.253133
2023-06-19 09:01:45,837 - __main__ - INFO - Entering amount to be withdrawn
2023-06-19 09:01:45,837 - __main__ - INFO - You withdrew: $100.0
2023-06-19 09:01:45,837 - __main__ - INFO - Transaction Info:
2023-06-19 09:01:45,837 - __main__ - INFO - Status: Successful
2023-06-19 09:01:45,837 - __main__ - INFO - Transaction #576722
2023-06-19 09:01:45,837 - __main__ - INFO - Available Balance = $1.0
2023-06-19 09:01:51,240 - __main__ - INFO - Hello! Welcome to the ATM Depot!
2023-06-19 09:01:53,977 - __main__ - INFO - Entering the account pincode
2023-06-19 09:01:55,294 - __main__ - INFO - Entering the account amount deposited
2023-06-19 09:01:55,294 - __main__ - INFO - Amount Deposited: $1.0
2023-06-19 09:01:55,294 - __main__ - INFO - Transaction Info:
2023-06-19 09:01:55,294 - __main__ - INFO - Status: Successful
2023-06-19 09:01:55,294 - __main__ - INFO - Transaction #607084
2023-06-19 09:01:55,294 - __main__ - INFO - Timestamp: 2023-06-19 09:01:55.294865
2023-06-19 09:01:58,069 - __main__ - INFO - Entering amount to be withdrawn
2023-06-19 09:01:58,069 - __main__ - INFO - You withdrew: $100.0
2023-06-19 09:01:58,069 - __main__ - INFO - Transaction Info:
2023-06-19 09:01:58,069 - __main__ - INFO - Status: Successful
2023-06-19 09:01:58,069 - __main__ - INFO - Transaction #578801
2023-06-19 09:01:58,069 - __main__ - INFO - Available Balance = $1.0
2023-06-19 09:02:58,787 - __main__ - INFO - Hello! Welcome to the ATM Depot!
2023-06-19 09:03:01,077 - __main__ - INFO - Entering the account pincode
2023-06-19 09:03:01,077 - __main__ - ERROR - Error! Invalid pin. Try again.
2023-06-19 09:03:05,352 - __main__ - INFO - Entering the account pincode
2023-06-19 09:03:05,352 - __main__ - ERROR - Error! Invalid pin. Try again.
2023-06-19 09:03:08,153 - __main__ - INFO - Entering the account pincode
2023-06-19 09:03:11,491 - __main__ - INFO - Entering the account amount deposited
2023-06-19 09:03:11,491 - __main__ - INFO - Amount Deposited: $100.0
2023-06-19 09:03:11,491 - __main__ - INFO - Transaction Info:
2023-06-19 09:03:11,491 - __main__ - INFO - Status: Successful
2023-06-19 09:03:11,492 - __main__ - INFO - Transaction #275040
2023-06-19 09:03:11,492 - __main__ - INFO - Timestamp: 2023-06-19 09:03:11.492137
2023-06-19 09:03:18,153 - __main__ - INFO - Entering amount to be withdrawn
2023-06-19 09:03:18,154 - __main__ - INFO - You withdrew: $101.0
2023-06-19 09:03:18,154 - __main__ - INFO - Transaction Info:
2023-06-19 09:03:18,154 - __main__ - INFO - Status: Successful
2023-06-19 09:03:18,154 - __main__ - INFO - Transaction #758741
2023-06-19 09:03:18,154 - __main__ - INFO - Available Balance = $99.0
2023-06-19 09:03:24,026 - __main__ - INFO - Hello! Welcome to the ATM Depot!
2023-06-19 09:03:25,944 - __main__ - INFO - Entering the account pincode
2023-06-19 09:03:28,698 - __main__ - INFO - Entering the account amount deposited
2023-06-19 09:03:28,698 - __main__ - INFO - Amount Deposited: $1.0
2023-06-19 09:03:28,698 - __main__ - INFO - Transaction Info:
2023-06-19 09:03:28,698 - __main__ - INFO - Status: Successful
2023-06-19 09:03:28,698 - __main__ - INFO - Transaction #307645
2023-06-19 09:03:28,698 - __main__ - INFO - Timestamp: 2023-06-19 09:03:28.698682
2023-06-19 09:03:30,963 - __main__ - INFO - Entering amount to be withdrawn
2023-06-19 09:03:30,963 - __main__ - INFO - You withdrew: $100.0
2023-06-19 09:03:30,963 - __main__ - INFO - Transaction Info:
2023-06-19 09:03:30,963 - __main__ - INFO - Status: Successful
2023-06-19 09:03:30,963 - __main__ - INFO - Transaction #657784
2023-06-19 09:03:30,963 - __main__ - INFO - Available Balance = $1.0
2023-06-19 09:03:39,978 - __main__ - INFO - Hello! Welcome to the ATM Depot!
2023-06-19 09:03:42,241 - __main__ - INFO - Entering the account pincode
2023-06-19 09:03:46,173 - __main__ - INFO - Entering the account amount deposited
2023-06-19 09:03:46,174 - __main__ - INFO - Amount Deposited: $1.0
2023-06-19 09:03:46,174 - __main__ - INFO - Transaction Info:
2023-06-19 09:03:46,174 - __main__ - INFO - Status: Successful
2023-06-19 09:03:46,174 - __main__ - INFO - Transaction #798053
2023-06-19 09:03:46,174 - __main__ - INFO - Timestamp: 2023-06-19 09:03:46.174268
2023-06-19 09:03:49,173 - __main__ - INFO - Entering amount to be withdrawn
2023-06-19 09:03:49,173 - __main__ - INFO - You withdrew: $-1.0
2023-06-19 09:03:49,173 - __main__ - INFO - Transaction Info:
2023-06-19 09:03:49,173 - __main__ - INFO - Status: Successful
2023-06-19 09:03:49,173 - __main__ - INFO - Transaction #682957
2023-06-19 09:03:49,173 - __main__ - INFO - Available Balance = $102.0
2023-06-19 09:06:15,073 - __main__ - INFO - Hello! Welcome to the ATM Depot!
2023-06-19 09:06:17,966 - __main__ - INFO - Entering the account pincode
2023-06-19 09:06:17,966 - __main__ - ERROR - Error! Invalid pin. Try again.
2023-06-19 09:06:20,334 - __main__ - INFO - Entering the account pincode
2023-06-19 09:06:25,065 - __main__ - ERROR - Error! You entered a non-number value to deposit.
2023-06-19 09:06:25,065 - __main__ - INFO - Transaction Info:
2023-06-19 09:06:25,065 - __main__ - INFO - Status: Failed
2023-06-19 09:06:25,065 - __main__ - INFO - Transaction #13410
2023-06-19 09:06:25,065 - __main__ - INFO - Timestamp: 2023-06-19 09:06:25.065923
2023-06-19 09:06:30,011 - __main__ - INFO - Entering amount to be withdrawn
2023-06-19 09:06:30,011 - __main__ - INFO - You withdrew: $-1.0
2023-06-19 09:06:30,011 - __main__ - INFO - Transaction Info:
